time_iso8601,stars_cumulative
2019-12-09 00:00:00+00:00,672
2019-12-11 00:00:00+00:00,674
2019-12-18 00:00:00+00:00,675
2019-12-19 00:00:00+00:00,676
2019-12-20 00:00:00+00:00,678
2019-12-21 00:00:00+00:00,680
2019-12-22 00:00:00+00:00,682
2019-12-25 00:00:00+00:00,684
2019-12-26 00:00:00+00:00,685
2019-12-27 00:00:00+00:00,686
2019-12-31 00:00:00+00:00,687
2020-01-03 00:00:00+00:00,688
2020-01-06 00:00:00+00:00,689
2020-01-10 00:00:00+00:00,690
2020-01-17 00:00:00+00:00,691
2020-01-22 00:00:00+00:00,692
2020-01-24 00:00:00+00:00,694
2020-01-25 00:00:00+00:00,695
2020-01-29 00:00:00+00:00,697
2020-01-30 00:00:00+00:00,700
2020-01-31 00:00:00+00:00,701
2020-02-01 00:00:00+00:00,704
2020-02-02 00:00:00+00:00,705
2020-02-03 00:00:00+00:00,707
2020-02-04 00:00:00+00:00,709
2020-02-08 00:00:00+00:00,710
2020-02-11 00:00:00+00:00,711
2020-02-15 00:00:00+00:00,712
2020-02-19 00:00:00+00:00,714
2020-02-21 00:00:00+00:00,715
2020-02-22 00:00:00+00:00,716
2020-02-23 00:00:00+00:00,718
2020-02-24 00:00:00+00:00,719
2020-02-26 00:00:00+00:00,720
2020-02-27 00:00:00+00:00,721
2020-02-29 00:00:00+00:00,722
2020-03-03 00:00:00+00:00,724
2020-03-04 00:00:00+00:00,725
2020-03-05 00:00:00+00:00,726
2020-03-11 00:00:00+00:00,727
2020-03-15 00:00:00+00:00,728
2020-03-17 00:00:00+00:00,730
2020-03-18 00:00:00+00:00,731
2020-03-20 00:00:00+00:00,732
2020-03-23 00:00:00+00:00,733
2020-03-24 00:00:00+00:00,734
2020-03-29 00:00:00+00:00,735
2020-03-31 00:00:00+00:00,736
2020-04-03 00:00:00+00:00,737
2020-04-08 00:00:00+00:00,738
2020-04-12 00:00:00+00:00,740
2020-04-13 00:00:00+00:00,742
2020-04-14 00:00:00+00:00,745
2020-04-15 00:00:00+00:00,746
2020-04-18 00:00:00+00:00,747
2020-04-19 00:00:00+00:00,748
2020-04-21 00:00:00+00:00,749
2020-04-23 00:00:00+00:00,750
2020-04-24 00:00:00+00:00,751
2020-04-27 00:00:00+00:00,752
2020-05-01 00:00:00+00:00,753
2020-05-02 00:00:00+00:00,756
